"filename", "language", "Properties", "JavaScript", "TypeScript", "JSON with Comments", "vue", "CSS", "Python", "Less", "XML", "Markdown", "JSON", "HTML", "YAML", "comment", "blank", "total"
"d:\workspace\cj\src\fuck.py", "Python", 0, 0, 0, 0, 0, 0, 251, 0, 0, 0, 0, 0, 0, 10, 39, 300
"d:\workspace\cj\src\images.py", "Python", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 13, 13, 66
"d:\workspace\cj\src\index.less", "Less", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 10
"d:\workspace\cj\src\main.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 38
"d:\workspace\cj\src\plugins\axios copy.ts", "TypeScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 11, 54
"d:\workspace\cj\src\plugins\axios.ts", "TypeScript", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 14, 77
"d:\workspace\cj\src\plugins\vconsole.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 17
"d:\workspace\cj\src\rename_images.py", "Python", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 2, 4, 27
"d:\workspace\cj\src\rename_tmp_files.py", "Python", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
"d:\workspace\cj\src\router\index.ts", "TypeScript", 0, 0, 175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 13, 203
"d:\workspace\cj\src\store\authStore.ts", "TypeScript", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11, 58
"d:\workspace\cj\src\store\exploreStore.ts", "TypeScript", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 59
"d:\workspace\cj\src\store\index.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"d:\workspace\cj\src\store\likeStore.ts", "TypeScript", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 16, 97
"d:\workspace\cj\src\store\manaStore.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 30
"d:\workspace\cj\src\store\paymentStore.ts", "TypeScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 37
"d:\workspace\cj\src\store\urlStore.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 39
"d:\workspace\cj\src\store\userList copy 2.ts", "TypeScript", 0, 0, 235, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 38, 304
"d:\workspace\cj\src\store\userList copy.ts", "TypeScript", 0, 0, 187, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 30, 242
"d:\workspace\cj\src\store\userList.ts", "TypeScript", 0, 0, 231, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 35, 279
"d:\workspace\cj\src\store\userinfo.ts", "TypeScript", 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 74
"d:\workspace\cj\src\store\viewState.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 18
"d:\workspace\cj\src\style.css", "CSS", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 4, 8, 35
"d:\workspace\cj\src\types\components.d.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 38
"d:\workspace\cj\src\utils\authUtils.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 4, 25
"d:\workspace\cj\src\utils\batch.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 20
"d:\workspace\cj\src\utils\clipboard.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 31
"d:\workspace\cj\src\utils\levelIcon.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"d:\workspace\cj\src\utils\routeHistory.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 20
"d:\workspace\cj\src\utils\tabs.ts", "TypeScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 39
"d:\workspace\cj\src\utils\wechat.ts", "TypeScript", 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 14, 125
"d:\workspace\cj\src\views\AdminChat\AdminChat.vue", "vue", 0, 0, 0, 0, 840, 0, 0, 0, 0, 0, 0, 0, 0, 17, 129, 986
